Store Number,Date,Gross Amount,Net Amount,Store Ticket Net Amount,Warranty Amount,Average Included Bay Time,Store Ticket Count,Store Ticket Average Net,Promotion Amount
,12/06/2019,"$5,147.85","$5,132.85","$5,118.85",$0.00,12.9,74,$69.17,$15.00
,12/07/2019,"$4,115.12","$4,099.62","$4,085.62",$0.00,12.0,62,$65.90,$15.50
,12/09/2019,"$4,641.90","$4,631.90","$4,631.90",$0.00,10.9,72,$64.33,$10.00
,12/10/2019,"$3,554.63","$3,489.63","$3,461.63",$0.00,0.0,46,$75.25,$65.00
,12/11/2019,"$4,368.33","$4,317.83","$4,317.83",$0.00,13.0,40,$107.95,$50.50
,12/12/2019,"$2,752.89","$2,732.89","$2,690.92",$0.00,11.7,34,$79.14,$20.00
,12/13/2019,"$5,260.73","$5,185.73","$5,143.73",$0.00,12.2,82,$62.73,$75.00
,12/14/2019,"$8,139.86","$7,979.36","$7,671.36",$0.00,12.3,88,$87.17,$160.50
,12/16/2019,"$4,826.43","$4,811.43","$4,744.45",$0.00,9.0,77,$61.62,$15.00
,12/17/2019,"$4,460.82","$4,420.32","$4,413.32",$0.00,0.0,52,$84.87,$40.50
,12/18/2019,"$5,043.83","$4,935.84","$4,928.84",$19.99,9.8,53,$93.00,$88.00
,12/19/2019,"$4,056.90","$4,036.90","$4,029.90",$0.00,12.6,66,$61.06,$20.00
,12/20/2019,"$5,312.05","$5,217.06","$5,084.08",$0.00,10.8,72,$70.61,$94.99
,12/21/2019,"$4,819.91","$4,774.91","$4,630.92",$0.00,11.8,63,$73.51,$45.00
,12/23/2019,"$6,137.45","$6,022.45","$6,006.46",$0.00,10.6,83,$72.37,$115.00
,12/24/2019,"$3,645.83","$3,618.83","$3,597.83",$0.00,7.8,57,$63.12,$27.00
,12/26/2019,"$4,908.31","$4,868.31","$4,861.31",$0.00,11.0,61,$79.69,$40.00
,12/27/2019,"$6,554.48","$6,489.48","$6,450.49",$0.00,12.6,87,$74.14,$65.00
,12/28/2019,"$3,832.58","$3,777.08","$3,777.08",$0.00,9.5,43,$87.84,$55.50
,12/30/2019,"$7,538.09","$7,422.09","$7,408.09",$0.00,10.3,114,$64.98,$116.00
,12/31/2019,"$6,802.28","$6,686.78","$6,665.78",$0.00,13.7,87,$76.62,$115.50
207,,"$1,420,439.64","$1,411,294.01","$1,402,272.90",$19.99,,"22,246",$63.03,"$9,125.64"
Total,,"$1,420,439.64","$1,411,294.01","$1,402,272.90",$19.99,,"22,246",$63.03,"$9,125.64"
