Date,Net Amount,Store Ticket Count
2020-03-19,3278,35
2020-03-20,4107,37
2020-03-21,6454,51
2020-03-22,1608,23
2020-03-23,2700,32
2020-03-24,3377,26
2020-03-25,5017,29
2020-03-26,3934,26
2020-03-27,5988,38
2020-03-28,3425,31
2020-03-29,1930,23
2020-03-30,2203,38
2020-03-31,1674,21
2020-04-01,2663,28
2020-04-02,3349,21
2020-04-03,4250,28
2020-04-04,3810,39
2020-04-05,883,14
2020-04-06,3183,22
2020-04-07,2658,26
2020-04-08,2605,38
2020-04-09,2128,21
2020-04-10,3849,34
2020-04-11,4490,24
2020-04-13,4059,40
2020-04-14,4089,27
2020-04-15,2601,29
2020-04-16,2775,37
2020-04-17,3428,40
2020-04-18,6697,52
2020-04-19,1309,17
2020-04-20,3972,38
2020-04-21,5722,43
2020-04-22,4589,37
2020-04-23,5058,37
2020-04-24,7064,51
2020-04-25,7159,49
2020-04-26,2059,27
2020-04-27,5632,52
2020-04-28,5089,51
2020-04-29,4856,48
2020-04-30,4775,48
2020-05-01,7976,74
2020-05-02,6950,73
2020-05-03,2827,39
2020-05-04,5209,59
2020-05-05,6735,55
2020-05-06,3521,35
2020-05-07,5171,57
2020-05-08,4214,48
2020-05-09,9505,69
2020-05-10,2617,25
2020-05-11,7338,47
2020-05-12,7466,48
2020-05-13,3901,46
2020-05-14,5932,54
2020-05-15,4597,59
2020-05-16,5826,46
2020-05-17,3436,47
2020-05-18,5460,53
2020-05-19,6134,72
2020-05-20,5276,50
2020-05-21,4151,49
2020-05-22,6576,61
2020-05-23,7294,66
2020-05-24,1564,26
2020-05-25,2617,13
2020-05-26,7689,62
2020-05-27,5080,66
2020-05-28,7760,56
2020-05-29,9474,74
2020-05-30,9687,83
2020-05-31,8764,59
2020-06-01,6400,76
2020-06-02,6812,67
2020-06-03,4893,60
2020-06-04,6287,59
2020-06-05,9072,69
2020-06-06,9098,74
2020-06-07,4108,48
2020-06-08,6564,74
2020-06-09,6732,72
2020-06-10,11068,67
2020-06-11,6951,55
2020-06-12,10195,65
2020-06-13,8502,91
2020-06-14,6903,50
2020-06-15,6862,67
2020-06-16,7875,64
2020-06-17,5706,49
2020-06-18,7226,61
2020-06-19,8754,78
2020-06-20,14827,62
2020-06-21,1103,16
2020-06-22,5822,56
2020-06-23,5774,57
2020-06-24,4149,52
2020-06-25,6615,58
2020-06-26,10031,79
2020-06-27,7542,65
2020-06-28,4229,47
2020-06-29,6641,72
2020-06-30,5485,67
2020-07-01,5221,62
2020-07-02,8495,76
2020-07-03,8380,96
2020-07-04,3403,31
2020-07-05,4077,33
2020-07-06,6722,77
2020-07-07,6136,64
2020-07-08,5960,61
2020-07-09,6363,62
2020-07-10,6569,66
2020-07-11,8325,54
2020-07-12,5002,48
2020-07-13,7298,58
2020-07-14,8552,61
2020-07-15,7333,59
2020-07-16,7900,60
2020-07-17,7178,72
2020-07-18,11345,71
2020-07-19,6222,53
2020-07-20,5756,63
2020-07-21,7860,64
2020-07-22,6854,56
2020-07-23,9863,72
2020-07-24,6613,75
2020-07-25,9564,79
2020-07-26,5076,56
2020-07-27,7936,80
2020-07-28,4456,54
2020-07-29,4964,57
2020-07-30,4136,58
2020-07-31,6688,72
2020-08-01,15319,82
2020-08-02,4925,51
2020-08-03,7695,72
2020-08-04,5241,55
2020-08-05,7149,49
2020-08-06,5132,55
2020-08-07,8963,64
2020-08-08,9283,74
2020-08-09,5934,58
2020-08-10,6585,63
2020-08-11,3713,57
2020-08-12,7322,62
2020-08-13,6584,63
2020-08-14,11853,89
2020-08-15,10183,85
2020-08-16,5159,46
2020-08-17,6319,55
2020-08-18,7364,50
2020-08-19,6589,38
2020-08-20,4686,52
2020-08-21,6579,69
2020-08-22,12455,80
2020-08-23,4521,48
2020-08-24,6328,61
2020-08-25,7636,44
2020-08-26,8197,55
2020-08-27,4016,45
2020-08-28,4210,49
2020-08-29,9351,80
2020-08-30,7089,46
2020-08-31,7380,62
2020-09-01,3643,43
2020-09-02,9774,56
2020-09-03,4612,49
2020-09-04,5936,67
2020-09-05,4829,62
2020-09-06,7033,42
2020-09-07,5209,46
2020-09-08,5823,58
2020-09-09,2949,28
2020-09-10,4971,46
2020-09-11,7283,56
2020-09-12,6976,75
2020-09-13,5644,50
2020-09-14,5681,46
2020-09-15,4573,38
2020-09-16,5511,46
2020-09-17,5756,42
2020-09-18,5381,64
2020-09-19,9082,71
2020-09-20,6817,56
2020-09-21,5904,49
2020-09-22,4893,42
2020-09-23,3339,46
2020-09-24,5899,55
2020-09-25,5720,59
2020-09-26,8539,65
2020-09-27,5374,47
2020-09-28,7954,63
2020-09-29,5836,70
2020-09-30,6523,58
2020-10-01,6253,55
2020-10-02,6434,67
2020-10-03,10724,80
2020-10-04,4307,48
2020-10-05,6090,65
2020-10-06,7181,49
2020-10-07,5018,53
2020-10-08,4657,59
2020-10-09,6603,48
2020-10-10,5360,50
2020-10-11,5706,38
2020-10-12,6405,61
2020-10-13,5426,43
2020-10-14,6919,54
2020-10-15,4336,47
2020-10-16,5171,65
2020-10-17,7309,72
2020-10-18,4197,54
2020-10-19,4703,51
2020-10-20,6015,46
2020-10-21,4772,59
2020-10-22,4925,48
2020-10-23,5920,55
2020-10-24,10351,72
2020-10-25,3488,40
2020-10-26,3578,42
2020-10-27,6823,43
2020-10-28,5163,31
2020-10-29,6392,53
2020-10-30,5860,72
2020-10-31,9322,86
2020-11-01,8239,47
2020-11-02,6117,67
2020-11-03,8392,66
2020-11-04,5275,45
2020-11-05,9059,70
2020-11-06,7050,49
2020-11-07,7566,69
2020-11-08,5792,32
2020-11-09,6144,51
2020-11-10,6518,48
2020-11-11,3832,47
2020-11-12,7858,50
2020-11-13,10962,61
