Date,Net Amount,Store Ticket Count
2017-09-26,5956,40
2017-09-27,5862,48
2017-09-28,4185,50
2017-09-29,7439,76
2017-09-30,8141,89
2017-10-01,5593,55
2017-10-02,4795,58
2017-10-03,4332,49
2017-10-04,3753,43
2017-10-05,4134,47
2017-10-06,6250,66
2017-10-07,9366,87
2017-10-08,5003,53
2017-10-09,4362,62
2017-10-10,4353,51
2017-10-11,7414,49
2017-10-12,5083,53
2017-10-13,6002,73
2017-10-14,8464,78
2017-10-15,4247,48
2017-10-16,3665,64
2017-10-17,3654,39
2017-10-18,6068,47
2017-10-19,5597,58
2017-10-20,4558,62
2017-10-21,8244,75
2017-10-22,2390,43
2017-10-23,3859,49
2017-10-24,2860,41
2017-10-25,3974,43
2017-10-26,5361,46
2017-10-27,5689,59
2017-10-28,5309,71
2017-10-29,3694,47
2017-10-30,4632,50
2017-10-31,5611,44
2017-11-01,6426,59
2017-11-02,9132,60
2017-11-03,9705,89
2017-11-04,8067,95
2017-11-05,4762,69
2017-11-06,5153,54
2017-11-07,5291,50
2017-11-08,3315,38
2017-11-09,5643,53
2017-11-10,8291,68
2017-11-11,6961,81
2017-11-12,5230,52
2017-11-13,6078,52
2017-11-14,3129,46
2017-11-15,3018,36
2017-11-16,3643,46
2017-11-17,6548,77
2017-11-18,6355,82
2017-11-19,3788,45
2017-11-20,5760,66
2017-11-21,5845,78
2017-11-22,20433,78
2017-11-24,7091,70
2017-11-25,6416,65
2017-11-26,4088,61
2017-11-27,6687,59
2017-11-28,6388,58
2017-11-29,3082,48
2017-11-30,2921,49
2017-12-01,8310,68
2017-12-02,8355,74
2017-12-03,3265,49
2017-12-04,5116,72
2017-12-05,2943,36
2017-12-06,4242,42
2017-12-07,4825,44
2017-12-08,4220,55
2017-12-09,6510,88
2017-12-10,6854,58
2017-12-11,6732,65
2017-12-12,4328,44
2017-12-13,5819,47
2017-12-14,3509,50
2017-12-15,7381,71
2017-12-16,6020,84
2017-12-17,3846,45
2017-12-18,5464,65
2017-12-19,3051,36
2017-12-20,3160,57
2017-12-21,4881,59
2017-12-22,4713,60
2017-12-23,5344,59
2017-12-24,896,13
2017-12-26,5274,62
2017-12-27,4628,57
2017-12-28,6210,75
2017-12-29,6873,77
2017-12-30,10161,85
2017-12-31,855,12
2018-01-02,9266,65
2018-01-03,10216,77
2018-01-04,5064,64
2018-01-05,9522,80
2018-01-06,10791,93
2018-01-07,3855,51
2018-01-08,10020,70
2018-01-09,6118,63
2018-01-10,4558,52
2018-01-11,6542,64
2018-01-12,9667,80
2018-01-13,12235,90
2018-01-14,4216,51
2018-01-15,8515,75
2018-01-16,3862,33
2018-01-17,3960,38
2018-01-18,3120,37
2018-01-19,7374,65
2018-01-20,10060,91
2018-01-21,4723,59
2018-01-22,3882,49
2018-01-23,9150,54
2018-01-24,5162,67
2018-01-25,10265,68
2018-01-26,5396,62
2018-01-27,8433,85
2018-01-28,4485,66
2018-01-29,7724,61
2018-01-30,12363,80
2018-01-31,8150,59
2018-02-01,3106,52
2018-02-02,8797,74
2018-02-03,7493,72
2018-02-04,4800,47
2018-02-05,4314,43
2018-02-06,3746,45
2018-02-07,3212,44
2018-02-08,7192,54
2018-02-09,5734,74
2018-02-10,10717,72
2018-02-11,3878,24
2018-02-12,5989,44
2018-02-13,3396,43
2018-02-14,6348,53
2018-02-15,3737,38
2018-02-16,4782,53
2018-02-17,9700,77
2018-02-18,7018,62
2018-02-19,5140,73
2018-02-20,4376,38
2018-02-21,5118,35
2018-02-22,5876,50
2018-02-23,5754,52
2018-02-24,33202,98
2018-02-25,12851,79
2018-02-26,4922,79
2018-02-27,11932,61
2018-02-28,3278,53
2018-03-01,5704,50
2018-03-02,7475,87
2018-03-03,7990,105
2018-03-04,4592,64
2018-03-05,7018,68
2018-03-06,5860,50
