,Net Sales,Car Count,Ticket Avg,COGS %,Labor %
0,1267.27,15.0,84.4847,0.224017,0.18541400000000002
1,33853.25,428.0,76.4182,0.203899,0.21040799999999998
2,38425.75,491.0,75.4926,0.21564699999999998,0.214329
3,37695.94,452.0,80.8926,0.21676399999999998,0.203221
4,9328.64,115.0,79.732,0.21110700000000002,0.21715
5,31956.09,426.0,73.2938,0.21771,0.20680500000000002
6,24014.51,369.0,63.5304,0.194275,0.268423
7,25480.44,380.0,66.183,0.187961,0.24889899999999998
8,24755.94,326.0,73.8983,0.210389,0.25661100000000003
9,25904.25,342.0,73.1758,0.210414,0.270637
10,33072.38,360.0,89.1439,0.20746900000000001,0.23540500000000003
11,9073.74,112.0,78.2219,0.16519,0.226181
12,25879.24,328.0,76.793,0.198999,0.23327699999999998
13,23409.51,323.0,71.3705,0.198294,0.27799
14,23972.25,283.0,82.0967,0.24104,0.265762
15,24911.62,241.0,100.4501,0.21648,0.23529699999999998
16,27361.57,345.0,75.1691,0.20698699999999998,0.26752
17,38019.81,401.0,91.3938,0.226406,0.209635
18,9962.87,118.0,82.3378,0.221512,0.20854
19,31973.03,412.0,74.5292,0.21705,0.199605
20,26311.37,333.0,75.6074,0.23254499999999997,0.247245
21,18410.7,225.0,79.0159,0.210102,0.322977
22,22461.81,283.0,76.1417,0.233531,0.266449
23,36271.17,453.0,77.3372,0.22015500000000002,0.22069
24,39234.81,419.0,89.9881,0.21832800000000002,0.21105100000000002
25,8691.44,130.0,64.381,0.19956600000000002,0.217692
26,26776.59,359.0,72.3692,0.225994,0.258575
27,22084.93,270.0,78.3154,0.199853,0.274425
28,25658.21,296.0,84.402,0.211865,0.260524
29,24344.84,308.0,77.2852,0.180017,0.26822399999999996
30,32118.91,416.0,74.8693,0.20600000000000002,0.238046
31,36462.97,451.0,79.0954,0.21658400000000003,0.22493000000000002
32,10806.25,124.0,85.7639,0.21331399999999998,0.20794400000000002
33,31429.32,391.0,78.5733,0.199749,0.197756
34,25123.8,296.0,80.7839,0.218756,0.24819899999999998
35,23395.06,228.0,96.6738,0.26006599999999996,0.254992
36,29759.99,300.0,95.6913,0.255893,0.23245900000000003
37,36772.54,427.0,83.7643,0.208727,0.22664499999999999
38,39159.86,457.0,82.4418,0.21418600000000002,0.219342
39,9313.15,114.0,80.2858,0.20461,0.225516
40,26692.33,303.0,85.0074,0.220094,0.23550300000000002
41,21318.65,223.0,91.4964,0.208994,0.29020799999999997
42,22109.58,255.0,82.4984,0.233895,0.275534
43,25440.22,279.0,87.124,0.23334699999999997,0.258351
44,31883.38,341.0,90.066,0.231873,0.229055
45,44139.45,433.0,97.8702,0.224913,0.19636800000000001
46,11346.73,132.0,82.2227,0.20008900000000002,0.21694499999999997
47,35413.11,411.0,84.1167,0.216435,0.18767999999999999
48,24954.38,284.0,85.4602,0.223948,0.244011
49,23652.02,256.0,85.3864,0.24378000000000002,0.261393
50,24171.75,279.0,83.6393,0.20619,0.251527
51,37112.24,444.0,79.64,0.20760599999999998,0.215912
52,36620.45,468.0,76.7724,0.225825,0.234328
53,8378.36,118.0,69.8197,0.20263499999999998,0.311282
54,29051.25,368.0,77.264,0.18954000000000001,0.225314
55,28473.89,337.0,81.354,0.20527600000000001,0.219108
56,31175.09,336.0,88.5656,0.23326599999999997,0.23156999999999997
57,25717.9,370.0,67.3243,0.192522,0.246961
58,39673.39,475.0,82.1395,0.2248,0.204573
59,44671.49,527.0,81.8159,0.19717300000000001,0.193233
60,11286.5,154.0,71.8885,0.206029,0.197052
61,31930.78,412.0,75.8451,0.210119,0.21028200000000002
62,27447.63,364.0,72.4212,0.22739600000000001,0.215923
63,29137.37,281.0,100.1284,0.228675,0.228954
64,29606.66,375.0,76.7012,0.22065700000000002,0.235724
65,35201.37,447.0,76.6914,0.19400599999999998,0.230571
66,41574.7,456.0,87.8958,0.21104099999999998,0.21854899999999997
67,11129.56,124.0,87.6343,0.22505100000000003,0.230258
68,31700.48,369.0,84.0862,0.216013,0.22563200000000003
69,24198.7,358.0,66.2978,0.194366,0.262818
70,33182.06,334.0,93.7346,0.240677,0.22206199999999998
71,28012.54,303.0,86.4585,0.20988,0.24907100000000001
72,29441.61,368.0,77.2746,0.20744899999999997,0.257755
73,27167.39,329.0,78.7461,0.217971,0.295607
74,7075.72,90.0,78.6191,0.209247,0.280534
75,26434.41,280.0,89.3054,0.25766700000000003,0.22551300000000002
76,19722.6,237.0,79.5266,0.209867,0.249809
77,16124.69,226.0,69.8039,0.189314,0.335517
78,20025.7,222.0,87.4485,0.177991,0.24258400000000002
79,15159.81,200.0,73.9503,0.220073,0.324102
80,22063.9,249.0,83.5754,0.239197,0.26679899999999995
81,3125.7,41.0,76.2366,0.243456,0.239981
82,16322.85,203.0,75.5688,0.203201,0.259296
83,19672.53,203.0,90.6568,0.225514,0.23166799999999999
84,15475.23,154.0,94.3612,0.238258,0.290935
85,16706.18,177.0,89.3379,0.21061100000000002,0.288032
86,19681.74,214.0,89.87100000000001,0.21339899999999998,0.263709
87,18862.28,208.0,86.9229,0.216968,0.21782800000000002
88,3655.65,44.0,77.7798,0.22573600000000002,0.22485500000000003
89,11193.06,188.0,58.2972,0.200623,0.316204
90,13940.59,208.0,65.1429,0.200944,0.30272
91,14971.4,193.0,74.4846,0.190207,0.295926
92,13883.81,182.0,73.0727,0.219637,0.26874000000000003
93,16607.13,179.0,89.7683,0.24148200000000003,0.258004
94,15074.79,182.0,78.5145,0.211917,0.257804
95,2331.54,33.0,66.6154,0.22630999999999998,0.326998
96,13908.55,192.0,70.2452,0.201375,0.259243
97,14532.61,198.0,70.2058,0.246142,0.285351
98,13680.05,203.0,63.6281,0.209686,0.29987199999999997
99,13716.41,204.0,63.7973,0.210407,0.295152
100,21083.77,264.0,78.9654,0.19631099999999999,0.231775
101,19748.11,225.0,85.1212,0.230818,0.23421999999999998
102,17716.93,216.0,77.7058,0.20488299999999998,0.236871
103,17617.48,185.0,91.7577,0.20546199999999998,0.257371
104,19506.51,252.0,73.8883,0.215299,0.23987399999999998
105,19803.55,245.0,76.7579,0.20891300000000002,0.237963
106,21013.98,242.0,84.7338,0.22493600000000002,0.22376300000000002
107,25830.24,295.0,83.0554,0.22822199999999998,0.186993
108,1309.43,17.0,72.7461,0.134486,0.294663
109,24117.13,290.0,80.3904,0.21717600000000004,0.19168
110,23112.66,253.0,87.2176,0.23716500000000001,0.208077
111,17541.14,212.0,78.6598,0.280043,0.25964699999999996
112,23498.19,253.0,89.0083,0.238398,0.21050300000000002
113,28018.17,331.0,82.89399999999999,0.220678,0.205884
114,25699.18,260.0,93.7926,0.214283,0.21830300000000002
115,5248.2,68.0,74.9743,0.22746100000000002,0.239656
116,27251.14,322.0,81.8353,0.200956,0.22517199999999998
117,21636.67,260.0,79.2552,0.194178,0.24728699999999998
118,23234.86,284.0,78.4961,0.227625,0.255331
119,25403.97,299.0,80.9044,0.189604,0.238108
120,33687.11,383.0,83.178,0.196703,0.21896999999999997
121,30247.27,367.0,79.5981,0.200312,0.25984
122,6082.96,76.0,77.9867,0.22469699999999998,0.28845
123,28227.7,348.0,75.4751,0.20110699999999998,0.221065
124,29512.66,340.0,83.1343,0.213538,0.21143699999999999
125,23172.35,304.0,72.6406,0.203754,0.231323
126,24036.8,310.0,73.2829,0.20667,0.24834099999999998
127,29416.51,330.0,86.5191,0.219266,0.250393
