ds,y
09/27/2018,4513.12
09/28/2018,5942.16
09/29/2018,5528.76
09/30/2018,4646.44
10/01/2018,5715.83
10/02/2018,4796.23
10/03/2018,3730.79
10/04/2018,4747.97
10/05/2018,8190.78
10/06/2018,6513.21
10/07/2018,3483.58
10/08/2018,12848.12
10/09/2018,4703.56
10/10/2018,5353.89
10/11/2018,4760.34
10/12/2018,5124.28
10/13/2018,6552.05
10/14/2018,6493.03
10/15/2018,2703.44
10/16/2018,6061.55
10/17/2018,4639.83
10/18/2018,4311.82
10/19/2018,3564.03
10/20/2018,11589.85
10/21/2018,6077.53
10/22/2018,9478.04
10/23/2018,5339.84
10/24/2018,1967.33
10/25/2018,4055.5
10/26/2018,7042.4
10/27/2018,8089.02
10/28/2018,7006.53
10/29/2018,10999.68
10/30/2018,5250.87
10/31/2018,2516.57
11/01/2018,4894.78
11/02/2018,6174.16
11/03/2018,12235.9
11/04/2018,3150.53
11/05/2018,4554.86
11/06/2018,7985.54
11/07/2018,5450.8
11/08/2018,5025.84
11/09/2018,8569.59
11/10/2018,9295.73
11/11/2018,4750.77
11/12/2018,5596.84
11/13/2018,3252.14
11/14/2018,5220.42
11/15/2018,3858.86
11/16/2018,7019.15
11/17/2018,12833.96
11/18/2018,3044.14
11/19/2018,7249.3
11/20/2018,7614.46
11/21/2018,9448.06
11/23/2018,4869.79
11/24/2018,7623.56
11/25/2018,3923.29
11/26/2018,4524.09
11/27/2018,4087.41
11/28/2018,3133.98
11/29/2018,6101.79
11/30/2018,5621.12
12/01/2018,11910.04
12/02/2018,3015.56
12/03/2018,6045.37
12/04/2018,5740.98
12/05/2018,5180.38
12/06/2018,4077.39
12/07/2018,6215.56
12/08/2018,4790.42
12/09/2018,4463.85
12/10/2018,5129.76
12/11/2018,4979.31
12/12/2018,6740.88
12/13/2018,4200.07
12/14/2018,7583.64
12/15/2018,8552.35
12/16/2018,5432.43
12/17/2018,5078.46
12/18/2018,4197.41
12/19/2018,3903.83
12/20/2018,12392.36
12/21/2018,11924.21
12/22/2018,8199.31
12/23/2018,1152.91
12/24/2018,1986.06
12/26/2018,2808.88
12/27/2018,8208.87
12/28/2018,6564.45
12/29/2018,7791.92
12/30/2018,5011.65
12/31/2018,4730.32
01/02/2019,3604.78
01/03/2019,5137.32
01/04/2019,8838.75
01/05/2019,9286.09
01/06/2019,4279.27
01/07/2019,4708.04
01/08/2019,4204.08
01/09/2019,7165.58
01/10/2019,8869.81
01/11/2019,6136.69
01/12/2019,11674.69
01/13/2019,2823.24
01/14/2019,6777.21
01/15/2019,3701.56
01/16/2019,4857.38
01/17/2019,6906.39
01/18/2019,7996.57
01/19/2019,8022.63
01/20/2019,3449.18
01/21/2019,4264.03
01/22/2019,6555.13
01/23/2019,4102.58
01/24/2019,5361.12
01/25/2019,5144.49
01/26/2019,9521.21
01/27/2019,5973.99
01/28/2019,4271.16
01/29/2019,3407.4
01/30/2019,5062.8
01/31/2019,6654.13
02/01/2019,3917.29
02/02/2019,8078.95
02/03/2019,4096.14
02/04/2019,3714.62
02/05/2019,6907.96
02/06/2019,5729.48
02/07/2019,7322.26
02/08/2019,9985.62
02/09/2019,11331.43
02/10/2019,8683.46
02/11/2019,4947.04
02/12/2019,4454.75
02/13/2019,10818.4
02/14/2019,5840.15
02/15/2019,6140.29
02/16/2019,10757.75
02/17/2019,4234.95
02/18/2019,8192.66
02/19/2019,5154.99
02/20/2019,4775.15
02/21/2019,6780.38
02/22/2019,7007.86
02/23/2019,7932.35
02/24/2019,3615.36
02/25/2019,8350.67
02/26/2019,6071.64
02/27/2019,4578.13
02/28/2019,5367.59
03/01/2019,6616.82
03/02/2019,14071.67
03/03/2019,6141.43
03/04/2019,7208.89
03/05/2019,4799.1
03/06/2019,4605.29
03/07/2019,7549.79
03/08/2019,11563.35
03/09/2019,12672.8
03/10/2019,5968.49
03/11/2019,9222.15
03/12/2019,4099.16
03/13/2019,8913.34
03/14/2019,8218.1
03/15/2019,9955.92
03/16/2019,13212.07
03/17/2019,5221.96
03/18/2019,5350.58
03/19/2019,4487.84
03/20/2019,4946.79
03/21/2019,3066.11
03/22/2019,4005.29
03/23/2019,5275.13
03/24/2019,4201.58
03/25/2019,3928.27
03/26/2019,8045.99
03/27/2019,5988.01
03/28/2019,3201.33
03/29/2019,7539.65
03/30/2019,9330.64
03/31/2019,5765.49
04/01/2019,5184.34
04/02/2019,9162.94
04/03/2019,6566.06
04/04/2019,6612.98
04/05/2019,7078.54
04/06/2019,5976.76
04/07/2019,3622.43
04/08/2019,5855.53
04/09/2019,4251.06
04/10/2019,3961.98
04/11/2019,6981.53
04/12/2019,3712.19
04/13/2019,5462.19
04/14/2019,4213.58
04/15/2019,5194.86
04/16/2019,6636.17
04/17/2019,6246.0
04/18/2019,3327.35
04/19/2019,7481.61
04/20/2019,8396.6
04/22/2019,7289.91
04/23/2019,8199.7
04/24/2019,3122.68
04/25/2019,6139.11
04/26/2019,5441.32
04/27/2019,11209.67
04/28/2019,3449.48
04/29/2019,9978.25
04/30/2019,4327.1
05/01/2019,7114.89
05/02/2019,6807.46
05/03/2019,6706.42
05/04/2019,7899.75
05/05/2019,3995.01
05/06/2019,5841.06
05/07/2019,3386.17
05/08/2019,5715.75
05/09/2019,3320.81
05/10/2019,5407.99
05/11/2019,4862.47
05/12/2019,2386.13
05/13/2019,4339.22
05/14/2019,7675.72
05/15/2019,3548.56
05/16/2019,3791.12
05/17/2019,9841.49
05/18/2019,6190.94
05/19/2019,4025.28
05/20/2019,5544.74
05/21/2019,4722.44
05/22/2019,7398.48
05/23/2019,6459.14
05/24/2019,8521.9
05/25/2019,8471.1
05/26/2019,3172.58
05/27/2019,5033.16
05/28/2019,4332.82
05/29/2019,4891.77
05/30/2019,6672.28
05/31/2019,7016.67
06/01/2019,8984.77
06/02/2019,4174.68
06/03/2019,6395.43
06/04/2019,8369.55
06/05/2019,5430.7
06/06/2019,4423.64
06/07/2019,9241.23
06/08/2019,5991.01
06/09/2019,3446.53
06/10/2019,7431.95
06/11/2019,4932.0
06/12/2019,3659.66
06/13/2019,4223.62
06/14/2019,7439.17
06/15/2019,7610.85
06/16/2019,2244.14
06/17/2019,4607.64
06/18/2019,5400.74
06/19/2019,3772.24
06/20/2019,3949.34
06/21/2019,5543.51
06/22/2019,7115.63
06/23/2019,3455.38
06/24/2019,3743.06
06/25/2019,5275.66
06/26/2019,6937.34
06/27/2019,6093.74
06/28/2019,6946.4
06/29/2019,7756.57
06/30/2019,2818.21
07/01/2019,7770.26
07/02/2019,5351.4
07/03/2019,7458.54
07/05/2019,6079.64
07/06/2019,8390.88
07/07/2019,2534.0
07/08/2019,4965.22
07/09/2019,5213.74
07/10/2019,3309.47
07/11/2019,6049.7
07/12/2019,7833.57
07/13/2019,8266.15
07/14/2019,3062.81
07/15/2019,7596.23
07/16/2019,7432.04
07/17/2019,6431.88
07/18/2019,5801.35
07/19/2019,7850.55
07/20/2019,9591.04
07/21/2019,4805.32
07/22/2019,4739.75
07/23/2019,5502.49
07/24/2019,7330.68
07/25/2019,4976.78
07/26/2019,6051.73
07/27/2019,12508.09
07/28/2019,4663.57
07/29/2019,6329.25
07/30/2019,5846.41
07/31/2019,4453.02
08/01/2019,5934.11
08/02/2019,9694.71
08/03/2019,6033.49
08/04/2019,3027.12
08/05/2019,7828.12
08/06/2019,3868.68
08/07/2019,6409.75
08/08/2019,6339.49
08/09/2019,6468.99
08/10/2019,10483.41
08/11/2019,3364.64
08/12/2019,6817.1
08/13/2019,5803.17
08/14/2019,6992.06
08/15/2019,5193.68
08/16/2019,5037.63
08/17/2019,9992.3
08/18/2019,3510.79
08/19/2019,4520.94
08/20/2019,7224.81
08/21/2019,6869.25
08/22/2019,3893.69
08/23/2019,7455.69
08/24/2019,10737.0
08/25/2019,4001.8
08/26/2019,6612.68
08/27/2019,4940.81
08/28/2019,6075.74
08/29/2019,4883.82
08/30/2019,3913.91
