Date,Cost of Goods Sold Amount,Net Sales Amount,Store Ticket Count,Ticket Average Net,Cost of Goods as a Percent of Net Sales,Labor Percent of Net Sales
,6312.83,31814.42,360.0,84.6128,0.198427,0.208858
,3860.05,23033.17,285.0,77.2925,0.167587,0.245603
,5683.26,28348.21,379.0,72.3169,0.20048,0.216328
,7118.06,32688.41,367.0,86.0221,0.217755,0.239065
,6487.81,30651.0,377.0,79.2016,0.211667,0.242948
,1597.44,9436.26,68.0,131.0592,0.169287,0.226554
,5805.8,27229.67,320.0,82.0171,0.213216,0.240377
,4582.06,24189.01,293.0,80.0961,0.189427,0.243068
,5321.65,24138.35,271.0,84.9942,0.220465,0.240374
,4677.0,26156.3,304.0,83.3003,0.17881,0.241561
,7823.58,36654.29,358.0,98.2689,0.213442,0.210169
